id,name,city,address_1,address_2,lat,lon
23695654,"Playtika","Santa Monica","2120 Colorado Ave, Ste 400",,34.026237,-118.475464
23705659,"Sheraton New York Times Square Hotel","New York","811 7th Avenue 53rd St",,40.710148,-74.006577
23706352,"ZEFR HQ","Venice","1621 Abbot Kinney Blvd",,33.990047,-118.4631
23712901,"Cargomatic HQ","Venice","228 Main St.",,33.997227,-118.478195
23721046,"USC","Los Angeles","941 Bloom Walk",,34.019497,-118.287788
23723332,"CorpInfo","Santa Monica","1618 Stanford Street",,34.033142,-118.466515
23733660,"CrossCampus Pasadena","Pasadena","85 N Raymond Ave",,34.147236,-118.148956
23741873,"Westin St. Francis","San Francisco","335 Powell St",,37.787643,-122.408325
23744956,"San Jose Convention Center","San Jose","150 West San Carlos St.",,37.330341,-121.889122
23748462,"Hangouts on Air","Santa Monica","http://webcast.cloudposse.com/",,34.011559,-118.492287
23751857,"Beckman Hall , Room 105, Chapman University","Orange","One University Drive",,33.793354,-117.852303
23753042,"Indie Desk","Los Angeles","816 S Broadway",,34.043301,-118.255127
23773596,"Paradise Restaurants","Gardena","889 W 190th St",,33.85902,-118.290123
23774015,"Creative Technology Center","Los Angeles","604 Moulton Ave.  90031 zip",,34.05349,-118.245323
23779037,"Hilton San Francisco Union Square","San Francisco","333 O'Farrell St",,37.785976,-122.410805
23780618,"Verizon Digital Media Services","Los Angeles","13031 W Jefferson Blvd. Building 900",,33.975731,-118.426384
23786710,"Ring Labs","Santa Monica","1523 26th Street Santa Monica",,34.031635,-118.471855
23788001,"Cross Campus","Santa Monica","929 Colorado Blvd",,34.139027,-118.185974
23796544,"Cross Campus","Pasadena","87 N. Raymond Avenue",,34.147404,-118.149216
23799195,"Riot Games *New Campus*","Los Angeles","12333 W Olympic Blvd",,34.032955,-118.457794
23805221,"Sensay at Amplify/NextSpace","Venice","1600 Main Street",,33.987827,-118.470856
23810964,"Rhubarb Studios","Los Angeles","633 W. Fifth St. Suite 1400",,34.05137,-118.254555
23814326,"Ticketmaster","Hollywood","7060 Hollywood Blvd., 2nd Floor, Los Angeles, CA 90028","Level 1",34.101391,-118.343628
23815968,"Ticketmaster","Los Angeles","7060 Hollywood Blvd",,34.101151,-118.343719
23822148,"UCLA Ackerman Union (AU) 2408","Los Angeles","308 Westwood Plaza",,34.068527,-118.444878
23830058,"CTRL Collective","Los Angeles","12575 Beatrice Street",,33.981258,-118.41571
23850565,"UCI Institute for Innovation","Irvine","5141 California Ave., Ste 200",,33.640133,-117.85526
23857736,"Tech Bow","Monterey Park","1000 CORPORATE CENTER DR",,34.050468,-118.161888
23872159,"Red Bull HQ","Santa Monica","1740 Stewart St",,34.030807,-118.466614
23893474,"Brainium","Santa Monica","225 Arizona #PH/400",,0,0
23893940,"Edlio","Culver City","12910 Culver Blvd",,34,-118.39
23897519,"Ofis Cowork Grand Ave","Los Angeles","3877 Grand View Ave,",,34.00301,-118.42984
23903025,"HauteLook Production Studio","Culver City","8680 Hayden Place",,0,0
23932611,"Location will be announced to participants","Santa Monica","Santa Monica Blvd",,34.03471,-118.472557
23954713,"WeWork Santa Monica","Santa Monica","520 Broadway",,34.01606,-118.492371
23957018,"Factual, Inc.","Los Angeles","1999 Avenue of the Stars, 34th Floor",,34.058804,-118.416969
23976077,"31ten Lounge","Santa Monica","3110 Main St",,33.997913,-118.4795
23983744,"Hulu","Santa Monica ","2500 Broadway ",,34.02,-118.5
23991145,"Javits Center","New York City","655 W 34th Street",,40.756485,-74.003494
23991409,"Grindr","Los Angeles","Register at (grindr.eventbrite.com)",,0,0
